"room_type","reviews","overall_sa","bedrooms","price"
"Entire home/apt",4,5,1,80
"Private room",1,0,1,80
"Private room",7,4.5,1,85
"Private room",49,5,1,85
"Private room",23,5,1,85
"Private room",11,5,1,85
"Private room",4,5,1,85
"Private room",3,5,1,85
"Private room",1,5,1,85
"Private room",13,4.5,1,89
"Private room",16,4.5,1,90
"Private room",1,0,1,90
"Private room",0,0,1,91
"Entire home/apt",14,4,0,94
"Entire home/apt",0,0,0,94
"Shared room",1,5,1,95
"Private room",19,5,1,98
"Entire home/apt",0,0,1,98
"Entire home/apt",1,4,1,99
"Private room",2,4,1,100
"Private room",3,5,1,100
"Private room",1,5,1,100
"Entire home/apt",0,0,2,100
"Private room",1,3,1,101
"Private room",10,4.5,1,105
"Entire home/apt",47,4.5,2,108
"Private room",94,5,1,110
"Private room",39,5,1,110
"Entire home/apt",5,5,2,120
"Entire home/apt",1,5,1,125
"Private room",46,5,1,126
"Entire home/apt",2,5,0,129
"Entire home/apt",5,5,0,135
"Private room",67,5,1,135
"Entire home/apt",0,0,1,140
"Entire home/apt",4,5,2,149
"Entire home/apt",1,5,1,149
"Entire home/apt",0,0,2,149
"Entire home/apt",73,4.5,1,150
"Entire home/apt",20,4.5,1,150
"Entire home/apt",10,4.5,1,150
"Entire home/apt",7,4.5,1,150
"Private room",7,5,1,150
"Private room",1,5,1,150
"Entire home/apt",1,0,1,150
"Entire home/apt",0,0,1,150
"Entire home/apt",0,0,1,150
"Entire home/apt",0,0,1,150
"Entire home/apt",0,0,0,156
"Private room",2,3,1,159
"Entire home/apt",11,5,0,165
"Entire home/apt",22,4.5,1,168
"Entire home/apt",13,4.5,0,175
"Private room",0,0,1,175
"Entire home/apt",1,3,1,180
"Entire home/apt",13,5,1,180
"Entire home/apt",4,4.5,1,185
"Entire home/apt",1,5,2,190
"Entire home/apt",3,4,1,197
"Entire home/apt",3,4.5,2,200
"Entire home/apt",5,5,2,200
"Private room",1,5,1,210
"Entire home/apt",5,4,1,215
"Private room",0,0,1,220
"Entire home/apt",10,5,3,225
"Entire home/apt",0,0,1,225
"Entire home/apt",3,5,2,245
"Private room",0,0,1,250
"Entire home/apt",23,5,2,268
"Entire home/apt",2,5,2,275
"Entire home/apt",0,0,2,295
"Entire home/apt",2,5,2,297
"Entire home/apt",1,5,4,300
"Entire home/apt",19,5,3,349
"Entire home/apt",0,0,2,350
"Entire home/apt",1,4,4,449
"Entire home/apt",5,5,3,500
"Entire home/apt",10,5,4,600
"Entire home/apt",8,5,4,950
"Private room",0,0,1,1550
"Entire home/apt",3,4.5,1,272
"Entire home/apt",3,4.5,1,272
"Entire home/apt",3,5,1,272
"Entire home/apt",0,0,1,272
"Private room",11,4.5,1,70
"Entire home/apt",0,0,2,350
"Entire home/apt",0,0,1,85
"Private room",5,4.5,1,50
"Private room",14,4.5,1,90
"Entire home/apt",0,0,2,100
"Private room",2,5,1,200
"Private room",30,4,1,70
"Private room",10,4.5,1,70
"Entire home/apt",105,5,1,150
"Entire home/apt",3,4.5,2,134
"Private room",1,5,1,17
"Private room",34,4,1,35
"Private room",1,4,1,35
"Private room",2,4.5,1,35
"Private room",2,4,1,40
"Private room",2,4,1,40
"Private room",7,4.5,1,40
"Private room",1,5,1,40
"Private room",9,4.5,1,45
"Private room",9,4.5,1,45
"Private room",5,4.5,1,45
"Private room",2,4.5,1,45
"Shared room",17,4.5,1,45
"Private room",3,5,1,45
"Private room",0,0,1,45
"Private room",1,5,1,47
"Private room",58,4.5,1,49
"Private room",9,5,1,49
"Shared room",29,5,1,49
"Private room",5,4,1,50
"Private room",134,4.5,1,50
"Private room",47,4.5,1,50
"Private room",6,4.5,1,50
"Private room",3,4.5,1,50
"Private room",2,4.5,1,50
"Private room",2,4.5,1,50
"Private room",1,5,1,50
"Private room",1,5,1,50
"Private room",1,5,1,50
"Private room",0,0,1,50
"Private room",0,0,1,50
"Private room",0,0,1,50
"Private room",0,0,1,52
"Private room",5,4.5,1,54
"Private room",1,4,1,55
"Private room",47,4.5,1,55
"Entire home/apt",0,0,1,55
"Private room",0,0,1,55
"Private room",36,4.5,1,57
"Private room",1,4,1,58
"Private room",4,4,1,59
"Private room",39,4.5,1,59
"Private room",2,4.5,1,59
"Private room",8,5,1,59
"Private room",1,0,1,59
"Private room",1,3,1,60
"Private room",3,4,1,60
"Private room",1,4,1,60
"Private room",6,4.5,1,60
"Private room",2,4.5,1,60
"Private room",18,5,1,60
"Private room",4,5,1,60
"Private room",1,0,1,60
"Private room",0,0,1,60
"Private room",0,0,1,60
"Private room",5,5,1,62
"Private room",0,0,1,62
"Private room",0,0,1,63
"Private room",2,4,1,65
"Private room",1,4,1,65
"Private room",113,4.5,1,65
"Private room",24,4.5,1,65
"Shared room",25,4.5,1,65
"Entire home/apt",1,5,2,65
"Private room",16,5,1,65
"Private room",8,5,1,65
"Private room",7,5,1,65
"Private room",5,5,1,65
"Entire home/apt",1,0,2,65
"Private room",0,0,1,65
"Private room",0,0,1,65
"Private room",3,4,1,66
"Private room",33,5,1,66
"Private room",38,4.5,1,68
"Private room",1,5,1,68
"Private room",0,0,1,68
"Private room",2,4,1,69
"Private room",6,5,1,69
"Private room",48,4,1,70
"Private room",46,4,1,70
"Private room",9,4,1,70
"Private room",42,4.5,1,70
"Private room",33,4.5,1,70
"Private room",7,4.5,1,70
"Private room",7,4.5,1,70
"Private room",6,4.5,1,70
"Private room",6,4.5,1,70
"Private room",113,5,1,70
"Private room",71,5,1,70
"Private room",12,5,1,70
"Private room",3,5,1,70
"Private room",3,5,1,70
"Shared room",38,5,1,70
